City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Kintampo,GH,2020-09-28 14:38:38,8.06,-1.73,86.23,60,46,2.95
245,Kununurra,AU,2020-09-28 14:38:39,-15.77,128.73,78.8,69,0,7.02
246,Santa Marta,CO,2020-09-28 14:38:39,11.24,-74.2,84.2,74,20,3.36
247,San Patricio,MX,2020-09-28 14:38:39,19.22,-104.7,80.6,83,20,6.93
248,Ust-Nera,RU,2020-09-28 14:38:39,64.57,143.2,45.95,63,93,3.78
249,Ponta Grossa,BR,2020-09-28 14:38:39,-25.09,-50.16,77.04,69,81,10.38
250,Chiredzi,ZW,2020-09-28 14:38:40,-21.05,31.67,79.59,56,18,11.68
251,Puerto Narino,CO,2020-09-28 14:38:40,-3.77,-70.38,87.8,70,40,4.7
252,Saint George,US,2020-09-28 14:38:40,37.1,-113.58,64.99,23,1,21.92
253,Naze,JP,2020-09-28 14:34:52,28.37,129.48,73.4,88,30,4.7
254,Bekhteyevka,RU,2020-09-28 14:38:40,50.81,37.21,68.0,49,75,6.71
255,Pincher Creek,CA,2020-09-28 14:38:40,49.48,-113.95,50.0,53,24,24.16
256,Narsaq,GL,2020-09-28 14:38:41,60.92,-46.05,37.4,40,5,3.36
257,Hoa Binh,VN,2020-09-28 14:38:41,20.81,105.34,82.4,74,75,5.82
258,Antofagasta,CL,2020-09-28 14:36:18,-23.65,-70.4,60.8,63,90,4.7
259,Samur,RU,2020-09-28 14:38:41,41.83,48.49,63.54,58,70,11.92
260,Saint-Pierre,RE,2020-09-28 14:38:41,-21.34,55.48,75.2,73,32,3.36
261,Svetlyy,RU,2020-09-28 14:38:41,54.67,20.13,62.6,59,40,6.71
262,Yairipok,IN,2020-09-28 14:38:42,24.67,94.07,71.47,94,59,0.56
263,Qarqin,AF,2020-09-28 14:38:42,37.42,66.04,66.31,25,34,14.61
264,Tingo Maria,PE,2020-09-28 14:38:42,-9.29,-76.01,73.4,88,75,2.24
265,Oyama,JP,2020-09-28 14:33:51,36.3,139.8,73.99,87,20,4.7
266,Oktyabrskoye,RU,2020-09-28 14:38:42,43.06,44.74,66.2,77,40,4.47
267,Santa Maria,BR,2020-09-28 14:38:42,-29.68,-53.81,60.8,72,75,5.82
268,Nuuk,GL,2020-09-28 14:38:43,64.18,-51.72,37.4,69,40,3.36
269,Caravelas,BR,2020-09-28 14:38:43,-17.71,-39.25,83.23,57,0,13.0
270,Dubti,ET,2020-09-28 14:38:43,11.74,41.09,102.04,18,100,8.01
271,Tartagal,AR,2020-09-28 14:38:43,-22.52,-63.8,68.0,72,90,6.87
272,Togur,RU,2020-09-28 14:38:43,58.36,82.83,42.4,91,100,12.39
273,Lyubech,UA,2020-09-28 14:38:44,51.7,30.66,59.52,55,78,3.98
274,Ishinomaki,JP,2020-09-28 14:38:44,38.42,141.3,61.21,75,33,3.94
275,Halifax,CA,2020-09-28 14:38:44,44.65,-63.57,69.01,100,90,10.29
276,Tutoia,BR,2020-09-28 14:38:44,-2.76,-42.27,86.76,58,0,15.23
277,Zapolyarnyy,RU,2020-09-28 14:38:44,69.42,30.81,48.2,87,75,20.8
278,Dogondoutchi,NE,2020-09-28 14:38:44,13.64,4.03,100.36,23,5,6.51
279,Murgab,TM,2020-09-28 14:38:44,37.5,61.97,62.6,48,90,4.7
280,Pacific Grove,US,2020-09-28 14:38:45,36.62,-121.92,60.8,82,1,2.37
281,Grand Gaube,MU,2020-09-28 14:38:45,-20.01,57.66,75.0,76,19,7.0
282,Tolmachevo,RU,2020-09-28 14:38:45,54.98,82.74,48.2,61,73,6.71
283,Fomboni,KM,2020-09-28 14:38:45,-12.28,43.74,78.17,77,7,16.53
284,Mar Del Plata,AR,2020-09-28 14:35:46,-38.0,-57.56,54.0,81,75,17.22
285,Waingapu,ID,2020-09-28 14:38:46,-9.66,120.26,79.93,72,5,5.88
286,Boa Viagem,BR,2020-09-28 14:38:46,-5.13,-39.73,96.87,29,0,9.4
287,Koratagere,IN,2020-09-28 14:38:46,13.52,77.23,77.0,88,75,2.24
288,Hurricane,US,2020-09-28 14:34:22,37.18,-113.29,64.99,23,1,21.92
289,La Ronge,CA,2020-09-28 14:38:46,55.1,-105.28,44.6,87,90,8.05
290,Mahebourg,MU,2020-09-28 14:38:46,-20.41,57.7,75.2,78,40,8.05
291,Kongolo,CD,2020-09-28 14:38:47,-5.38,27.0,85.64,55,86,2.15
292,Benguela,AO,2020-09-28 14:38:47,-12.58,13.41,77.0,73,20,9.17
293,Lakatoro,VU,2020-09-28 14:38:47,-16.1,167.42,76.33,79,4,8.43
294,Atasu,KZ,2020-09-28 14:38:47,48.68,71.64,45.34,58,29,4.38
295,Isangel,VU,2020-09-28 14:38:47,-19.55,169.27,71.96,83,6,5.91
296,Palu,ID,2020-09-28 14:38:48,-0.89,119.87,76.6,82,98,0.63
297,Nelson Bay,AU,2020-09-28 14:38:48,-32.72,152.15,46.99,87,0,3.65
298,Itaituba,BR,2020-09-28 14:38:48,-4.28,-55.98,93.2,59,20,4.23
299,Poronaysk,RU,2020-09-28 14:38:48,49.22,143.12,50.83,80,97,2.39
300,Elizabeth City,US,2020-09-28 14:35:12,36.29,-76.25,75.99,83,1,3.36
301,Great Yarmouth,GB,2020-09-28 14:34:34,52.61,1.73,64.99,99,100,11.65
302,San Vicente,AR,2020-09-28 14:38:49,-26.62,-54.13,71.08,44,59,4.54
303,Bizhbulyak,RU,2020-09-28 14:38:49,53.7,54.26,53.15,70,0,6.64
