City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Ahar,IR,38.48,47.07,50.22,74,18,4.03,few clouds
249,Poum,NC,-20.23,164.02,70.56,66,73,19.57,broken clouds
250,Acajutla,SV,13.59,-89.83,89.6,43,20,4.32,few clouds
251,Pevek,RU,69.7,170.31,35.78,84,0,11.65,clear sky
252,Atambua,ID,-9.11,124.89,72.72,70,34,3.89,scattered clouds
253,Buritizeiro,BR,-17.35,-44.96,87.42,26,63,6.44,broken clouds
254,Saint-Georges,GD,12.06,-61.75,80.6,88,75,14.99,light intensity shower rain
255,Mtinko,TZ,-4.55,34.85,63.05,75,4,9.44,clear sky
256,Morondava,MG,-20.28,44.28,75.9,68,0,8.93,clear sky
257,Nova Esperanca,BR,4.44,-61.12,76.21,62,73,1.92,broken clouds
258,Pacifica,US,37.61,-122.49,84.0,69,20,5.82,few clouds
259,Denpasar,ID,-8.65,115.22,78.8,100,40,6.93,scattered clouds
260,Altay,CN,47.87,88.12,31.8,87,0,1.1,clear sky
261,Fagetelu,RO,44.78,24.53,51.39,86,92,6.91,overcast clouds
262,Muroto,JP,33.28,134.15,62.6,93,20,8.05,few clouds
263,Takoradi,GH,4.88,-1.76,76.19,89,97,9.4,overcast clouds
264,Bilibino,RU,68.05,166.44,35.24,83,39,1.95,scattered clouds
265,Victoria,HK,22.29,114.16,79.0,81,100,1.99,overcast clouds
266,Awbari,LY,26.59,12.78,81.81,18,60,3.76,broken clouds
267,Tual,ID,-5.67,132.75,81.25,79,57,18.37,broken clouds
268,Tocopilla,CL,-22.09,-70.2,66.58,54,64,12.77,broken clouds
269,Darovskoy,RU,58.77,47.96,48.27,95,98,3.53,overcast clouds
270,Hambantota,LK,6.12,81.12,77.0,100,75,8.05,broken clouds
271,Muros,ES,42.78,-9.06,59.0,92,100,11.99,moderate rain
272,Chunhuhub,MX,19.55,-88.68,79.02,92,100,3.02,moderate rain
273,Novyy Urengoy,RU,66.08,76.63,36.55,88,83,5.82,broken clouds
274,San Felipe,VE,10.34,-68.74,77.23,88,59,4.29,moderate rain
275,Ghanzi,BW,-21.57,21.78,74.07,22,40,6.35,scattered clouds
276,Pitlochry,GB,56.71,-3.73,48.0,94,91,3.47,overcast clouds
277,Herat,AF,34.5,62.0,42.24,60,0,4.59,clear sky
278,Labuhan,ID,-6.88,112.21,79.16,81,67,5.39,broken clouds
279,Geraldton,AU,-28.77,114.6,55.4,87,90,8.05,overcast clouds
280,Shache,CN,38.42,77.24,53.37,40,41,11.32,scattered clouds
281,Hay River,CA,60.82,-115.8,50.0,61,75,6.93,broken clouds
282,Kurilsk,RU,45.23,147.88,55.33,80,24,4.68,few clouds
283,Kirakira,SB,-10.45,161.92,77.23,87,100,6.4,moderate rain
284,Constitucion,CL,-35.33,-72.42,51.75,61,49,15.48,scattered clouds
285,Celestun,MX,20.87,-90.4,81.05,80,93,17.47,light rain
286,Klaksvik,FO,62.23,-6.59,44.6,81,100,10.29,overcast clouds
287,Bathsheba,BB,13.22,-59.52,84.2,74,40,17.22,shower rain
288,Ancud,CL,-41.87,-73.82,50.0,87,75,10.29,broken clouds
289,Otane,NZ,-39.88,176.63,57.18,52,0,2.98,clear sky
290,Papayal,PE,-4.08,-80.74,79.5,47,26,9.51,scattered clouds
291,Jiazi,CN,22.88,116.07,73.8,79,70,16.2,broken clouds
292,Ibipeba,BR,-11.64,-42.01,76.53,37,0,9.01,clear sky
293,Pochutla,MX,15.74,-96.47,87.8,66,75,8.05,broken clouds
294,Ponnani,IN,10.77,75.93,75.2,88,75,3.36,mist
295,Vila Velha,BR,-20.33,-40.29,80.01,83,3,17.22,clear sky
296,Vestmanna,FO,62.16,-7.17,44.6,81,100,10.29,overcast clouds
297,Praia Da Vitoria,PT,38.73,-27.07,68.0,94,40,9.35,scattered clouds
298,Azare,NG,11.68,10.19,75.69,79,80,5.75,broken clouds
299,Hervey Bay,AU,-25.3,152.85,70.0,73,28,4.0,scattered clouds
300,Weligama,LK,5.97,80.42,78.66,86,91,11.27,light rain
301,Gizo,SB,-8.1,156.84,82.96,74,94,8.01,overcast clouds
302,Hasaki,JP,35.73,140.83,63.0,93,90,5.82,light rain
303,Santa Cruz De Tenerife,ES,28.47,-16.25,66.99,88,75,14.99,broken clouds
304,Atar,MR,20.52,-13.05,95.49,18,69,11.97,broken clouds
305,Palmer,US,42.16,-72.33,69.8,37,20,18.34,few clouds
306,Volkach,DE,49.87,10.23,52.0,91,46,4.34,scattered clouds
307,Zeya,RU,53.75,127.27,41.41,73,90,4.63,overcast clouds
308,Goderich,CA,43.75,-81.72,62.01,50,96,5.99,moderate rain
309,Hofn,IS,64.25,-15.21,44.85,87,100,10.92,moderate rain
